id;firstname;streams
9;JP Kent;4
68;JIJI FADA;23
297;Nelson Lean;111
521;MEA;13
618;BOYKLS;380
619;Neda;263
639;Kenny Kidz;8
707;L'oiseau Rare;1266
1010;K-;1
1546;Purpleplexx;49
2432;BRG;1
3660;John;2
3702;LudovicAlexiss;1
4101;SM;2
4196;Skulio;433
4216;Test Label;6
4246;MRKing;473
4760;NANA;29
4806;NHT;63
4938;Cazero;10
5460;Carty;170
6714;FETTY NDOSS;402
6824;SABI;31
6865;Greg DODO;8
"6866,""";MARLICH BEATS;34
7006;EN RECORDS;2
7008;Tapac Youth Record;4
7009;Alicyne;14
7065;LA SANTILOVA;81
7067;Parano de l'√©ternel;130
7070;PABLITO TRADUCTEUR;187
7127;L'inconnu Des Bas Quartiers;5
7183;La ROMA YS;
7186;Secouss√©;4
7290;Kenn shirro;13
7293;NTTL241;63
7341;Tiss Warren Jazz;4
7343;MISTERAMAZING;1
7346;IDMB REC;11
7720;MENDOZHA'A;10
7803;EVOUNA;16
7842;Eboloko;510
7877;LaStefio du Mapane;12
7885;Mr Nad;1
7941;Carmine Bidew;6
8041;I.M.G;1
8056;SABRILLENA;3
8139;GANG THUGS;1
8238;Tommy Tom;26
8268;LUCKADO;144
8269;LK PRODUCTION;78
8336;KYMER;4
8340;Fresh Love;1
8409;K2L;6
8410;DEMENTOS;484
8413;Prisca ALONG;130
8415;B12 BOSS;2
8417;LA VOIX DU MAPANE;18
8454;Dyne Michel;2
8586;CCICO;3
8633;Le J.O;57
8770;Pimpin ANOTHO;4
8888;Ars√®ne Euphon;11
8898;ADB;205
8935;Zyris;1
8937;KG;96
8946;XXL AU MIC;4
8947;Sadikal;2
9174;YUNG$TORM;8
9178;Ebolo;5
9251;CJ TELL'M;1190
9280;Delpega;592
9392;ALL241;10
9420;Cleh LATCHOMBEH;1
9457;Orace NK;1
9458;Skayzer SZ;9
9478;PANAWARABOY;600
9496;Bernny;306
9499;Yvy realkiller;46
9504;Yves Delbrah;50
9519;Lord Ekomy Ndong;186
9579;MZ BANK'S;6
9580;GUY DJEFFREY;139
9585;LILMARSHALL;174
9586;Noble l'Arc-En-Ciel;42
9587;SmokeBoy;190
9588;Asseko;325
9592;Daril le californien;7920
10650;ABDEL AZIZNY;15
4182;ELIOS;1
8335;Redrich le prince;2
8277;DAKEM;1
10775;Pyr√;2
;Total;17961
